PHASE,WEIGHT,ALT.,MACH,CAS,TAS,WIND,SR,RATE,GRDT,ALPH,WFE,N1,EGT,CL,CD,FN,DRAG,PCFN,TIME,FUEL,DIST,theta, theta2,CN1
CRZ,100000,16000,0.546,270,340.4,,0.08265,,,1.33,4119,62.293,596,,,,,34.6,,,,0.890057262,0.943125324,64.14377915
CRZ,150000,13000,0.516,270,325.5,,0.07016,,,2.72,4640,62.84,610,,,,,37.5,,,,0.910671525,0.959165877,64.16368771
CRZ,135000,14000,0.525,270,330.4,,0.07409,,,2.3,4459,62.66,605,,,,,36.5,,,,0.903800104,0.953622085,64.16559716
CRZ,165000,10000,0.523,290,334.1,,0.06334,,,2.5,5275,63.609,623,,,,,40.1,,,,0.931285789,0.982232523,64.1817291
CRZ,165000,11000,0.515,280,327.5,,0.06485,,,2.8,5050,63.325,619,,,,,39.3,,,,0.924414368,0.973449928,64.18276016
CRZ,150000,14000,0.506,260,318.4,,0.07177,,,3.06,4437,62.573,605,,,,,36.8,,,,0.903800104,0.950081177,64.19580074
CRZ,110000,10000,0.559,310,356.6,,0.06673,,,0.85,5345,63.86,627,,,,,39.6,,,,0.931285789,0.989487612,64.19833041
CRZ,160000,14000,0.487,250,306.5,,0.06951,,,3.78,4409,62.474,605,,,,,37.1,,,,0.903800104,0.946670777,64.20957977
CRZ,125000,17000,0.516,250,320.8,,0.082,,,2.62,3912,61.931,591,,,,,34.3,,,,0.883185841,0.930216547,64.2119801
CRZ,150000,12000,0.525,280,332.3,,0.06837,,,2.41,4861,63.183,615,,,,,38.4,,,,0.917542946,0.968122501,64.21479283
CRZ,105000,13000,0.553,290,349,,0.07421,,,1.07,4703,63.126,611,,,,,37.1,,,,0.910671525,0.966369835,64.21501502
CRZ,145000,10000,0.541,300,345.4,,0.06512,,,1.78,5304,63.77,624,,,,,40,,,,0.931285789,0.98579972,64.22765587
CRZ,180000,10000,0.506,280,322.8,,0.06133,,,3.19,5262,63.55,624,,,,,40.5,,,,0.931285789,0.978974326,64.22881413
CRZ,190000,10000,0.488,270,311.4,,0.05952,,,3.84,5232,63.447,623,,,,,40.7,,,,0.931285789,0.975641813,64.2341364
CRZ,170000,13000,0.478,250,301.9,,0.06574,,,4.11,4592,62.688,609,,,,,38.1,,,,0.910671525,0.9522863,64.23927726
CRZ,120000,15000,0.535,270,335.4,,0.07803,,,1.88,4298,62.556,601,,,,,35.7,,,,0.896928683,0.948273365,64.23950632
CRZ,115000,14000,0.544,280,342.3,,0.07612,,,1.51,4497,62.857,606,,,,,36.4,,,,0.903800104,0.957293502,64.24378116
CRZ,185000,11000,0.479,260,304.5,,0.06086,,,4.13,5004,63.179,618,,,,,39.9,,,,0.924414368,0.966834079,64.25349751
CRZ,130000,12000,0.543,290,343.9,,0.0703,,,1.66,4892,63.348,615,,,,,38.3,,,,0.917542946,0.97165027,64.26550434
CRZ,165000,12000,0.506,270,320.7,,0.06621,,,3.14,4844,63.117,615,,,,,38.7,,,,0.917542946,0.964527752,64.26714163
CRZ,175000,12000,0.488,260,309.1,,0.06418,,,3.82,4816,63.019,614,,,,,38.9,,,,0.917542946,0.961244416,64.27685107
CRZ,195000,10000,0.47,260,300.1,,0.05756,,,4.44,5213,63.42,623,,,,,41.1,,,,0.931285789,0.972429995,64.31274766
CRZ,150000,15000,0.497,250,311.1,,0.07316,,,3.45,4253,62.396,601,,,,,36.3,,,,0.896928683,0.941238574,64.31420279
CRZ,150000,11000,0.533,290,339,,0.06649,,,2.14,5098,63.574,620,,,,,39.4,,,,0.924414368,0.976937558,64.32001462
CRZ,125000,11000,0.551,300,350.4,,0.06841,,,1.34,5122,63.696,621,,,,,39.1,,,,0.924414368,0.980544993,64.32479297
CRZ,135000,13000,0.534,280,337.3,,0.07189,,,2.02,4691,63.115,611,,,,,37.6,,,,0.910671525,0.962608215,64.32914877
CRZ,115000,10000,0.559,310,356.6,,0.06635,,,0.95,5375,64.014,628,,,,,39.9,,,,0.931285789,0.989487612,64.3531463
CRZ,125000,16000,0.526,260,328.2,,0.07963,,,2.3,4122,62.375,597,,,,,35.2,,,,0.890057262,0.939308758,64.35856805
CRZ,180000,12000,0.469,250,297.4,,0.06196,,,4.45,4800,63.003,614,,,,,39.4,,,,0.917542946,0.957907679,64.37235568
CRZ,110000,17000,0.536,260,333.2,,0.08406,,,1.85,3964,62.214,593,,,,,34.3,,,,0.883185841,0.933932993,64.37693055
CRZ,110000,13000,0.553,290,349,,0.07374,,,1.19,4733,63.3,613,,,,,37.5,,,,0.910671525,0.966369835,64.39201677
CRZ,105000,16000,0.546,270,340.4,,0.08192,,,1.47,4156,62.54,597,,,,,35,,,,0.890057262,0.943125324,64.39811774
CRZ,165000,13000,0.497,260,313.7,,0.06737,,,3.52,4657,62.992,611,,,,,38.2,,,,0.910671525,0.955660338,64.43674831
CRZ,140000,15000,0.516,260,323.3,,0.07517,,,2.76,4300,62.63,602,,,,,36.3,,,,0.896928683,0.944691212,64.43732069
CRZ,180000,11000,0.497,270,316,,0.06233,,,3.56,5070,63.467,621,,,,,40,,,,0.924414368,0.970082101,64.43824808
CRZ,100000,19000,0.536,250,330.8,,0.09086,,,1.81,3640,61.79,583,,,,,32.9,,,,0.869442998,0.919400498,64.44152776
CRZ,140000,16000,0.506,250,315.9,,0.07692,,,3.12,4107,62.352,598,,,,,35.6,,,,0.890057262,0.935634602,64.46103155
CRZ,100000,12000,0.561,300,355.5,,0.07138,,,0.79,4981,63.673,620,,,,,38.4,,,,0.917542946,0.975296953,64.47433608
CRZ,150000,10000,0.541,300,345.4,,0.06453,,,1.89,5352,64.017,626,,,,,40.5,,,,0.931285789,0.98579972,64.47642851
CRZ,115000,18000,0.526,250,325.7,,0.08584,,,2.3,3795,62.013,588,,,,,33.9,,,,0.87631442,0.924805453,64.48482873
CRZ,170000,10000,0.523,290,334.1,,0.06263,,,2.61,5334,63.919,626,,,,,40.8,,,,0.931285789,0.982232523,64.4945203
CRZ,140000,14000,0.525,270,330.4,,0.07321,,,2.44,4513,62.991,607,,,,,37.1,,,,0.903800104,0.953622085,64.50455044
CRZ,120000,14000,0.544,280,342.3,,0.0754,,,1.64,4540,63.117,608,,,,,36.9,,,,0.903800104,0.957293502,64.5095174
CRZ,120000,10000,0.559,310,356.6,,0.06597,,,1.05,5406,64.175,629,,,,,40.3,,,,0.931285789,0.989487612,64.51499928
